"Province_State" "Country_Region" "Confirmed" "Deaths" "Recovered" "Active"
"330" "Miyagi" "Japan" 2624 16 2104 504
"331" "Miyazaki" "Japan" 1295 11 728 556
"332" "Nagano" "Japan" 1608 16 1159 433
"333" "Nagasaki" "Japan" 1034 8 517 509
"334" "Nara" "Japan" 2327 26 1905 396
"335" "Niigata" "Japan" 661 3 503 155
"336" "Oita" "Japan" 829 9 658 162
"337" "Okayama" "Japan" 1807 15 1241 551
"338" "Okinawa" "Japan" 5918 87 5240 591
"339" "Osaka" "Japan" 34453 622 28064 5767
"340" "Port Quarantine" "Japan" 2016 1 1845 170
"341" "Saga" "Japan" 586 3 460 123
"342" "Saitama" "Japan" 17852 234 12357 5261
"343" "Shiga" "Japan" 1546 16 1091 439
"344" "Shimane" "Japan" 233 0 204 29
"345" "Shizuoka" "Japan" 3360 44 2449 867
"346" "Tochigi" "Japan" 2510 12 1289 1209
"347" "Tokushima" "Japan" 229 10 188 31
"348" "Tokyo" "Japan" 75012 640 55542 18830
"349" "Tottori" "Japan" 166 1 86 79
"350" "Toyama" "Japan" 718 26 527 165
"351" "Wakayama" "Japan" 763 8 607 148
"352" "Yamagata" "Japan" 433 9 355 69
"353" "Yamaguchi" "Japan" 706 3 554 149
"354" "Yamanashi" "Japan" 748 11 546 191
"355" "Jordan" "Jordan" 307209 4024 288785 14400
"356" "Kazakhstan" "Kazakhstan" 209369 2844 182986 23539
"357" "Kenya" "Kenya" 98271 1710 80875 15686
"358" "Korea, South" "Korea, South" 69114 1140 52552 15422
"359" "Kosovo" "Kosovo" 53776 1377 46261 6138
"360" "Kuwait" "Kuwait" 154314 943 149007 4364
"361" "Kyrgyzstan" "Kyrgyzstan" 82273 1369 77902 3002
"362" "Laos" "Laos" 41 0 40 1
"363" "Latvia" "Latvia" 49568 849 35771 12948
"364" "Lebanon" "Lebanon" 219296 1606 142239 75451
"365" "Lesotho" "Lesotho" 5937 85 1572 4280
"366" "Liberia" "Liberia" 1779 83 1406 290
"367" "Libya" "Libya" 104745 1581 80292 22872
"368" "Liechtenstein" "Liechtenstein" 2340 49 2108 183
"369" "Lithuania" "Lithuania" 159672 2197 92453 65022
"370" "Luxembourg" "Luxembourg" 47744 527 44482 2735
"371" "MS Zaandam" "MS Zaandam" 9 2 7 0
"372" "Madagascar" "Madagascar" 18001 267 17447 287
"373" "Malawi" "Malawi" 8575 225 5826 2524
"374" "Malaysia" "Malaysia" 135992 551 108109 27332
"375" "Maldives" "Maldives" 14109 49 13336 724
"376" "Mali" "Mali" 7600 298 5291 2011
"377" "Malta" "Malta" 14396 233 11841 2322
"378" "Marshall Islands" "Marshall Islands" 4 0 4 0
"379" "Mauritania" "Mauritania" 15512 384 13435 1693
"380" "Mauritius" "Mauritius" 539 10 514 15
"381" "Aguascalientes" "Mexico" 17713 1447 0 16266
"382" "Baja California" "Mexico" 37046 5981 0 31065
"383" "Baja California Sur" "Mexico" 19268 805 0 18463
"384" "Campeche" "Mexico" 7406 980 0 6426
"385" "Chiapas" "Mexico" 8525 1236 0 7289
"386" "Chihuahua" "Mexico" 37508 4552 0 32956
"387" "Ciudad de Mexico" "Mexico" 367491 18151 0 349340
"388" "Coahuila" "Mexico" 52554 4415 0 48139
"389" "Colima" "Mexico" 8291 819 0 7472
"390" "Durango" "Mexico" 26212 1652 0 24560
"391" "Guanajuato" "Mexico" 88669 5779 0 82890
"392" "Guerrero" "Mexico" 26944 2775 0 24169
"393" "Hidalgo" "Mexico" 26520 3720 0 22800
"394" "Jalisco" "Mexico" 56111 6641 0 49470
"395" "Mexico" "Mexico" 156494 20342 0 136152
"396" "Michoacan" "Mexico" 35202 2908 0 32294
"397" "Morelos" "Mexico" 11319 1501 0 9818
"398" "Nayarit" "Mexico" 8313 1085 0 7228
"399" "Nuevo Leon" "Mexico" 89581 5449 0 84132
"400" "Oaxaca" "Mexico" 29756 2211 0 27545
"401" "Puebla" "Mexico" 50971 5996 0 44975
"402" "Queretaro" "Mexico" 35396 2182 0 33214
"403" "Quintana Roo" "Mexico" 16488 2088 0 14400
"404" "San Luis Potosi" "Mexico" 42275 3203 0 39072
"405" "Sinaloa" "Mexico" 27738 4319 0 23419
"406" "Sonora" "Mexico" 54903 4408 0 50495
"407" "Tabasco" "Mexico" 47008 3275 0 43733
"408" "Tamaulipas" "Mexico" 40991 3397 0 37594
"409" "Tlaxcala" "Mexico" 12391 1495 0 10896
"410" "Veracruz" "Mexico" 44984 6518 0 38466
"411" "Yucatan" "Mexico" 27611 2504 0 25107
"412" "Zacatecas" "Mexico" 22360 1872 0 20488
"413" "Moldova" "Moldova" 149391 3139 138440 7812
"414" "Monaco" "Monaco" 1057 4 850 203
"415" "Mongolia" "Mongolia" 1442 2 896 544
"416" "Montenegro" "Montenegro" 52431 725 42288 9418
"417" "Morocco" "Morocco" 452532 7743 424896 19893
"418" "Mozambique" "Mozambique" 21939 192 17535 4212
"419" "Namibia" "Namibia" 28259 254 24292 3713
"420" "Nepal" "Nepal" 264780 1917 258441 4422
"421" "Aruba" "Netherlands" 6042 51 5456 535
"422" "Bonaire, Sint Eustatius and Saba" "Netherlands" 196 3 180 13
"423" "Curacao" "Netherlands" 4458 19 3882 557
"424" "Drenthe" "Netherlands" 15658 175 0 15483
"425" "Flevoland" "Netherlands" 21496 165 0 21331
"426" "Friesland" "Netherlands" 17235 194 0 17041
"427" "Gelderland" "Netherlands" 98736 1412 0 97324
"428" "Groningen" "Netherlands" 18679 129 0 18550
"429" "Limburg" "Netherlands" 53481 1150 0 52331
"430" "Noord-Brabant" "Netherlands" 136549 2489 0 134060
"431" "Noord-Holland" "Netherlands" 147871 1792 0 146079
"432" "Overijssel" "Netherlands" 61342 790 0 60552
"433" "Sint Maarten" "Netherlands" 1555 27 1434 94
"434" "Utrecht" "Netherlands" 72053 932 0 71121
"435" "Zeeland" "Netherlands" 11986 137 0 11849
"436" "Zuid-Holland" "Netherlands" 216059 2984 0 213075
"437" "New Zealand" "New Zealand" 2222 25 2120 77
"438" "Nicaragua" "Nicaragua" 6097 166 4225 1706
"439" "Niger" "Niger" 3877 126 2386 1365
"440" "Nigeria" "Nigeria" 100087 1358 80030 18699
"441" "North Macedonia" "North Macedonia" 86494 2622 67453 16419
"442" "Norway" "Norway" 55474 472 17998 37004
"443" "Oman" "Oman" 130608 1508 122867 6233
"444" "Azad Jammu and Kashmir" "Pakistan" 8489 235 7966 288
"445" "Balochistan" "Pakistan" 18412 188 17938 286
"446" "Gilgit-Baltistan" "Pakistan" 4880 101 4734 45
"447" "Islamabad" "Pakistan" 39242 441 36765 2036
"448" "Khyber Pakhtunkhwa" "Pakistan" 61424 1740 56535 3149
"449" "Punjab" "Pakistan" 145508 4272 130358 10878
"450" "Sindh" "Pakistan" 226338 3699 204075 18564
"451" "Panama" "Panama" 279196 4455 219144 55597
"452" "Papua New Guinea" "Papua New Guinea" 811 9 755 47
"453" "Paraguay" "Paraguay" 115733 2405 91443 21885
"454" "Amazonas" "Peru" 18579 255 0 18324
"455" "Ancash" "Peru" 31484 1531 0 29953
"456" "Apurimac" "Peru" 7825 166 0 7659
"457" "Arequipa" "Peru" 48783 1649 0 47134
"458" "Ayacucho" "Peru" 15427 384 0 15043
"459" "Cajamarca" "Peru" 25729 619 0 25110
"460" "Callao" "Peru" 43911 1991 0 41920
"461" "Cusco" "Peru" 25639 541 0 25098
"462" "Huancavelica" "Peru" 7935 153 0 7782
"463" "Huanuco" "Peru" 20888 505 0 20383
"464" "Ica" "Peru" 32338 1810 0 30528
"465" "Junin" "Peru" 28763 982 0 27781
"466" "La Libertad" "Peru" 37879 2489 0 35390
"467" "Lambayeque" "Peru" 33603 1948 0 31655
"468" "Lima" "Peru" 454697 16923 0 437774
"469" "Loreto" "Peru" 26425 1012 0 25413
"470" "Madre de Dios" "Peru" 9609 159 0 9450
"471" "Moquegua" "Peru" 16252 321 0 15931
"472" "Pasco" "Peru" 6696 141 0 6555
"473" "Piura" "Peru" 43251 2237 0 41014
"474" "Puno" "Peru" 19478 412 0 19066
"475" "San Martin" "Peru" 25966 802 0 25164
"476" "Tacna" "Peru" 14877 272 0 14605
"477" "Tumbes" "Peru" 9544 349 0 9195
"478" "Ucayali" "Peru" 20602 398 0 20204
"479" "Philippines" "Philippines" 487690 9405 458198 20087
"480" "Poland" "Poland" 1385522 31189 1123318 231015
"481" "Portugal" "Portugal" 483689 7803 369108 106778
"482" "Qatar" "Qatar" 145865 246 142695 2924
"483" "Romania" "Romania" 671284 16654 598610 56020
"484" "Adygea Republic" "Russia" 11796 101 9765 1930
"485" "Altai Krai" "Russia" 34962 968 32353 1641
"486" "Altai Republic" "Russia" 14289 108 13300 881
"487" "Amur Oblast" "Russia" 17148 105 15282 1761
"488" "Arkhangelsk Oblast" "Russia" 45951 451 37028 8472
"489" "Astrakhan Oblast" "Russia" 20724 425 13470 6829
"490" "Bashkortostan Republic" "Russia" 20736 155 15480 5101
"491" "Belgorod Oblast" "Russia" 23686 280 20993 2413
"492" "Bryansk Oblast" "Russia" 25124 218 22640 2266
"493" "Buryatia Republic" "Russia" 27255 620 24657 1978
"494" "Chechen Republic" "Russia" 9644 97 6002 3545
"495" "Chelyabinsk Oblast" "Russia" 37692 584 24038 13070
"496" "Chukotka Autonomous Okrug" "Russia" 549 4 496 49
"497" "Chuvashia Republic" "Russia" 17364 633 15694 1037
"498" "Dagestan Republic" "Russia" 25047 1153 21699 2195
"499" "Ingushetia Republic" "Russia" 12835 147 11060 1628
"500" "Irkutsk Oblast" "Russia" 43169 1339 37640 4190
"501" "Ivanovo Oblast" "Russia" 23093 586 17713 4794
"502" "Jewish Autonomous Okrug" "Russia" 3895 77 3176 642
"503" "Kabardino-Balkarian Republic" "Russia" 16815 281 15165 1369
"504" "Kaliningrad Oblast" "Russia" 19852 194 17999 1659
