"name","points","speed","dist","dist_points","note_points","id","round","wind_comp","gate_points"
"104663","nakamura naoki",172.9,104.6,200.5,120.6,49.5,"2021JP3003RL","1st round",2.8,0
"104664","nakamura naoki",149.2,104.6,182.5,99,49,"2021JP3003RL","final round",1.2,0
"104665","kobayashi ryoyu",194.5,104.2,207,128.4,51.5,"2021JP3003RL","1st round",5.4,9.2
"104666","kobayashi ryoyu",184.6,104.9,203.5,124.2,51.5,"2021JP3003RL","final round",8.9,0
"104667","sato yukiya",208.6,103.6,217.5,141,54,"2021JP3003RL","1st round",4.4,9.2
"104668","sato yukiya",222.2,103.6,226,151.2,54.5,"2021JP3003RL","final round",7.3,9.2
"104669","aschenwald philipp",184.9,105.4,206.5,127.8,51,"2021JP3003RL","1st round",6.1,0
"104670","aschenwald philipp",196.6,105.7,216.5,139.8,54,"2021JP3003RL","final round",2.8,0
"104671","schlierenzauer gregor",178.9,105.4,202.5,123,51,"2021JP3003RL","1st round",4.9,0
"104672","schlierenzauer gregor",161.9,105.4,190,108,49,"2021JP3003RL","final round",4.9,0
"104673","kahofer timon-pascal",87.9,104.4,129.5,35.4,39.5,"2021JP3003RL","1st round",3.8,9.2
"104674","kahofer timon-pascal",169.6,105.2,197,116.4,49.5,"2021JP3003RL","final round",3.7,0
"104675","hayboeck michael",213.8,105,223.5,148.2,52,"2021JP3003RL","1st round",4.4,9.2
"104676","hayboeck michael",228.5,105.1,231,157.2,56,"2021JP3003RL","final round",6.1,9.2
"104677","mankov ilya",172.5,104.4,200,120,49.5,"2021JP3003RL","1st round",3,0
"104678","mankov ilya",153.1,104.1,187,104.4,48,"2021JP3003RL","final round",0.7,0
"104679","sadreev danil",177.4,104.1,203,123.6,51,"2021JP3003RL","1st round",2.8,0
"104680","sadreev danil",163.5,104.2,192.5,111,48,"2021JP3003RL","final round",4.5,0
"104681","nazarov mikhail",164.7,104,186.5,103.8,47.5,"2021JP3003RL","1st round",4.2,9.2
"104682","nazarov mikhail",163.2,104.6,187,104.4,48,"2021JP3003RL","final round",10.8,0
"104683","klimov evgeniy",172.6,103.7,193,111.6,49.5,"2021JP3003RL","1st round",2.3,9.2
"104684","klimov evgeniy",189.3,103.8,203.5,124.2,51,"2021JP3003RL","final round",4.9,9.2
"104685","kytosaho niko",162.3,104.5,192,110.4,49.5,"2021JP3003RL","1st round",2.4,0
"104686","kytosaho niko",177.7,104.8,205,126,51,"2021JP3003RL","final round",0.7,0
"104687","maatta jarkko",153.3,104.5,186.5,103.8,48.5,"2021JP3003RL","1st round",1,0
"104688","maatta jarkko",151.8,104.6,180,96,48,"2021JP3003RL","final round",7.8,0
"104689","nousiainen eetu",145.4,103.3,167.5,81,46.5,"2021JP3003RL","1st round",8.7,9.2
"104690","nousiainen eetu",151.2,103.7,177,92.4,47.5,"2021JP3003RL","final round",11.3,0
"104691","aalto antti",162.6,104.2,183.5,100.2,48.5,"2021JP3003RL","1st round",4.7,9.2
"104692","aalto antti",180.5,104.1,194.5,113.4,49.5,"2021JP3003RL","final round",8.4,9.2
"104693","aschenwald philipp",134.9,92.1,128.5,75.3,53.5,"2021JP3004RLQ","qualification",6.1,0
"104694","granerud halvor egner",123.8,92,122,63.6,52.5,"2021JP3004RLQ","qualification",7.7,0
"104695","prevc cene",123.5,92,122,63.6,52.5,"2021JP3004RLQ","qualification",7.4,0
"104696","huber daniel",123.3,92.8,127.5,73.5,49.5,"2021JP3004RLQ","qualification",0.3,0
"104697","kobayashi ryoyu",122.5,92.3,122.5,64.5,52.5,"2021JP3004RLQ","qualification",5.5,0
"104698","aalto antti",121.2,92.1,126,70.8,52,"2021JP3004RLQ","qualification",-1.6,0
"104699","johansson robert",118.3,92,121.5,62.7,52.5,"2021JP3004RLQ","qualification",3.1,0
"104700","lanisek anze",118.2,92.4,121.5,62.7,53,"2021JP3004RLQ","qualification",2.5,0
"104701","bresadola giovanni",117,0,119,58.2,52,"2021JP3004RLQ","qualification",6.8,0
"104702","deschwanden gregor",115.7,92.2,122,63.6,50,"2021JP3004RLQ","qualification",2.1,0
"104703","kraft stefan",114.7,92.1,116.5,53.7,51.5,"2021JP3004RLQ","qualification",9.5,0
"104704","sato keiichi",114.1,92.4,116,52.8,51,"2021JP3004RLQ","qualification",10.3,0
