"season","codex","hill_size_x","k.point","meter.value","gate.factor","wind.factor","id","training","place","gender","hill_size_y","team","type","date"
"153",2014,3763,106,95,2,6.36,7,"2014JP3763RLT",1,"Almaty (KAZ)","Women",68,0,2,"2013-09-21"
"154",2014,3763,106,95,2,6.36,7,"2014JP3763RL",0,"Almaty (KAZ)","Women",68,0,2,"2013-09-21"
"155",2014,3756,134,120,1.8,7.24,8.82,"2014JP3756RLT",1,"Nizhny Tagil (RUS)","Men",134,0,2,"2013-09-15"
"156",2014,3756,134,120,1.8,7.24,8.82,"2014JP3756RL",0,"Nizhny Tagil (RUS)","Men",134,0,2,"2013-09-15"
"157",2014,3755,100,90,2,6,6.4,"2014JP3755RTRIA",1,"Nizhny Tagil (RUS)","Men",106,0,2,"2013-09-14"
"158",2014,3755,100,90,2,6,6.4,"2014JP3755RL",0,"Nizhny Tagil (RUS)","Men",106,0,2,"2013-09-14"
"159",2014,3754,100,90,2,6,6.4,"2014JP3754RTRIA",1,"Nizhny Tagil (RUS)","Women",106,0,2,"2013-09-14"
"160",2014,3754,100,90,2,6,6.4,"2014JP3754RL",0,"Nizhny Tagil (RUS)","Women",106,0,2,"2013-09-14"
"161",2014,3753,100,90,2,6,6.4,"2014JP3753RLT",1,"Nizhny Tagil (RUS)","Women",106,0,2,"2013-09-13"
"162",2014,3753,100,90,2,6,6.4,"2014JP3753RL",0,"Nizhny Tagil (RUS)","Women",106,0,2,"2013-09-13"
"163",2014,3742,131,120,1.8,8.82,10.44,"2014JP3742RTRIA",1,"Hakuba (JPN)","Men",131,0,2,"2013-08-24"
"164",2014,3742,131,120,1.8,8.82,10.44,"2014JP3742RL",0,"Hakuba (JPN)","Men",131,0,2,"2013-08-24"
"165",2014,3741,131,120,1.8,8.82,10.44,"2014JP3741RTRIA",1,"Hakuba (JPN)","Men",131,0,2,"2013-08-23"
"166",2014,3741,131,120,1.8,8.82,10.44,"2014JP3741RL",0,"Hakuba (JPN)","Men",131,0,2,"2013-08-23"
