Province_State;Country_Region;Confirmed;Deaths;Recovered;Active
Haiti;Haiti;11533;245;9098;2190
Holy See;Holy See;27;0;15;12
Honduras;Honduras;147843;3610;60873;83360
Hungary;Hungary;367586;12524;262968;92094
Iceland;Iceland;6002;29;5930;43
Andaman and Nicobar Islands;India;4994;62;4928;4
Andhra Pradesh;India;887836;7153;879405;1278
Arunachal Pradesh;India;16828;56;16759;13
Assam;India;217141;1082;214178;1881
Bihar;India;259563;1501;257169;893
Chandigarh;India;20925;334;20426;165
Chhattisgarh;India;305367;3701;297339;4327
Dadra and Nagar Haveli and Daman and Diu;India;3398;2;3390;6
Delhi;India;635096;10853;622882;1361
Goa;India;53409;768;51891;750
Gujarat;India;261540;4387;253703;3450
Haryana;India;267897;3018;263764;1115
Himachal Pradesh;India;57536;979;56167;390
Jammu and Kashmir;India;124506;1936;121822;748
Jharkhand;India;118692;1072;117067;553
Karnataka;India;939387;12217;921122;6048
Kerala;India;929178;3743;854206;71229
Ladakh;India;9720;130;9523;67
Lakshadweep;India;87;0;49;38
Madhya Pradesh;India;255112;3810;248637;2665
Maharashtra;India;2026399;51082;1929005;46312
Manipur;India;29068;371;28553;144
Meghalaya;India;13764;146;13550;68
Mizoram;India;4372;9;4330;33
Nagaland;India;12094;88;11950;56
Odisha;India;335072;1906;332103;1063
Puducherry;India;39068;648;38135;285
Punjab;India;173276;5615;165533;2128
Rajasthan;India;317491;2766;312564;2161
Sikkim;India;6090;134;5870;86
Tamil Nadu;India;838340;12356;821430;4554
Telangana;India;294587;1601;290894;2092
Tripura;India;33351;391;32941;19
Uttar Pradesh;India;600299;8658;586116;5525
Uttarakhand;India;96129;1644;93310;1175
West Bengal;India;569998;10173;554272;5553
Indonesia;Indonesia;1078314;29998;873221;175095
Iran;Iran;1417999;57959;1210051;149989
Iraq;Iraq;619636;13047;592129;14460
Ireland;Ireland;196547;3307;23364;169876
Israel;Israel;643435;4796;572511;66128
Abruzzo;Italy;42846;1467;30892;10487
Basilicata;Italy;13231;326;7481;5424
Calabria;Italy;32747;592;23246;8909
Campania;Italy;222185;3757;156006;62422
Emilia-Romagna;Italy;218651;9476;162307;46868
Friuli Venezia Giulia;Italy;67534;2394;53807;11333
Lazio;Italy;205448;4984;137263;63201
Liguria;Italy;69668;3352;61880;4436
Lombardia;Italy;538054;27098;459879;51077
Marche;Italy;55487;1966;44263;9258
Molise;Italy;8354;267;6928;1159
P.A. Bolzano;Italy;40167;873;34676;4618
P.A. Trento;Italy;27527;1147;23911;2469
Piemonte;Italy;223097;8847;201938;12312
Puglia;Italy;122907;3192;66971;52744
Sardegna;Italy;38537;982;21575;15980
Sicilia;Italy;136103;3478;90336;42289
Toscana;Italy;134456;4202;121079;9175
Umbria;Italy;36051;781;29641;5629
Valle d Aosta;Italy;7797;404;7160;233
Veneto;Italy;312185;8931;269309;33945
Jamaica;Jamaica;15653;350;12043;3260
Aichi;Japan;24046;397;20476;3173
Akita;Japan;261;1;207;53
Aomori;Japan;717;13;643;61
Chiba;Japan;22326;250;16026;6050
Ehime;Japan;993;18;826;149
Fukui;Japan;514;19;419;76
Fukuoka;Japan;16184;186;12358;3640
Fukushima;Japan;1735;45;1404;286
Gifu;Japan;4120;67;3614;439
Gunma;Japan;3867;69;3368;430
Hiroshima;Japan;4817;90;4286;441
Hokkaido;Japan;17438;602;15302;1534
Hyogo;Japan;16520;401;13609;2510
Ibaraki;Japan;4821;63;3872;886
Ishikawa;Japan;1464;59;1290;115
Iwate;Japan;496;27;445;24
Kagawa;Japan;643;15;457;171
Kagoshima;Japan;1622;21;1394;207
Kanagawa;Japan;40814;474;36092;4248
Kochi;Japan;847;14;792;41
Kumamoto;Japan;3340;64;2815;461
Kyoto;Japan;8447;120;6792;1535
Mie;Japan;2187;30;1744;413
Miyagi;Japan;3450;22;2975;453
Miyazaki;Japan;1820;20;1571;229
Nagano;Japan;2288;35;2036;217
Nagasaki;Japan;1526;27;1199;300
Nara;Japan;2981;39;2641;301
Niigata;Japan;911;9;767;135
Oita;Japan;1158;17;931;210
Okayama;Japan;2338;21;2013;304
Okinawa;Japan;7568;91;6546;931
Osaka;Japan;43723;926;36956;5841
Port Quarantine;Japan;2155;2;2059;94
Saga;Japan;961;6;801;154
Saitama;Japan;25225;352;20013;4860
Shiga;Japan;2123;30;1680;413
Shimane;Japan;275;0;248;27
Shizuoka;Japan;4590;75;3725;790
Tochigi;Japan;3772;47;3024;701
