"","id","name","points","speed","dist","dist_points","note_points","round","wind_comp","gate_points","season","place","gender"
"138","2021JP3002RL","bresadola giovanni",171.2,104.2,202,122.4,51,"2nd round",-2.2,0,2021,"Planica (SLO)","Men"
"139","2021JP3002RL","bresadola giovanni",168.4,104.3,192,110.4,49.5,"3rd round",8.5,0,2021,"Planica (SLO)","Men"
"140","2021JP3002RL","bresadola giovanni",173.2,104.2,201,121.2,51,"final round",1,0,2021,"Planica (SLO)","Men"
"141","2021JP3002RL","aigro artti",166.5,103.5,200.5,120.6,49.5,"1st round",-3.6,0,2021,"Planica (SLO)","Men"
"142","2021JP3002RL","aigro artti",164.3,103.4,196.5,115.8,49.5,"2nd round",-1,0,2021,"Planica (SLO)","Men"
"143","2021JP3002RL","aigro artti",176.4,103.7,197.5,117,49.5,"3rd round",9.9,0,2021,"Planica (SLO)","Men"
"144","2021JP3002RL","aigro artti",180.1,103.5,207,128.4,50,"final round",1.7,0,2021,"Planica (SLO)","Men"
"145","2021JP3002RL","schlierenzauer gregor",172,104.9,193,111.6,51,"1st round",9.4,0,2021,"Planica (SLO)","Men"
"146","2021JP3002RL","schlierenzauer gregor",170.5,104.7,199.5,119.4,52,"2nd round",-0.9,0,2021,"Planica (SLO)","Men"
"147","2021JP3002RL","schlierenzauer gregor",168.9,105,193,111.6,49.5,"3rd round",7.8,0,2021,"Planica (SLO)","Men"
"148","2021JP3002RL","schlierenzauer gregor",174.8,104.9,202,122.4,51,"final round",1.4,0,2021,"Planica (SLO)","Men"
"149","2021JP3002RL","soukup matthew",169.2,104,204,124.8,51,"1st round",-6.6,0,2021,"Planica (SLO)","Men"
"150","2021JP3002RL","soukup matthew",156.3,103.9,196.5,115.8,46.5,"2nd round",-6,0,2021,"Planica (SLO)","Men"
"151","2021JP3002RL","soukup matthew",165.6,104.3,191.5,109.8,49,"3rd round",6.8,0,2021,"Planica (SLO)","Men"
"152","2021JP3002RL","soukup matthew",172.9,104.2,200,120,50.5,"final round",2.4,0,2021,"Planica (SLO)","Men"
"153","2021JP3002RL","eriksen sander vossan",174.4,104.3,207,128.4,51.5,"1st round",-5.5,0,2021,"Planica (SLO)","Men"
"154","2021JP3002RL","eriksen sander vossan",179.7,104.1,208,129.6,53,"2nd round",-2.9,0,2021,"Planica (SLO)","Men"
"155","2021JP3002RL","eriksen sander vossan",138.1,104.4,172.5,87,44,"3rd round",7.1,0,2021,"Planica (SLO)","Men"
"156","2021JP3002RL","eriksen sander vossan",171.1,104.3,198,117.6,50,"final round",3.5,0,2021,"Planica (SLO)","Men"
"157","2021JP3002RL","nazarov mikhail",166,103.9,203,123.6,51,"1st round",-8.6,0,2021,"Planica (SLO)","Men"
"158","2021JP3002RL","nazarov mikhail",145.9,103.5,178.5,94.2,47,"2nd round",4.7,0,2021,"Planica (SLO)","Men"
"159","2021JP3002RL","nazarov mikhail",173.3,104.2,199.5,119.4,49.5,"3rd round",4.4,0,2021,"Planica (SLO)","Men"
"160","2021JP3002RL","nazarov mikhail",166.9,104,195.5,114.6,48.5,"final round",3.8,0,2021,"Planica (SLO)","Men"
"161","2021JP3002RL","zajc timi",170.8,103.6,205,126,51,"1st round",-6.2,0,2021,"Planica (SLO)","Men"
"162","2021JP3002RL","zajc timi",168.5,103.9,199,118.8,49.5,"2nd round",0.2,0,2021,"Planica (SLO)","Men"
"163","2021JP3002RL","sadreev danil",163.3,103.8,196,115.2,49.5,"1st round",-1.4,0,2021,"Planica (SLO)","Men"
"164","2021JP3002RL","mankov ilya",162.9,103.6,195,114,49.5,"1st round",-0.6,0,2021,"Planica (SLO)","Men"
