saison;spieltag;spiel;tore_mannschaft1;tore_mannschaft2
19/20;14;1;20;29
19/20;14;2;27;29
19/20;14;3;30;17
19/20;14;4;35;33
19/20;14;5;26;23
19/20;14;6;27;26
19/20;14;7;33;32
19/20;14;8;25;25
19/20;14;9;29;25
19/20;15;1;28;22
19/20;15;2;26;21
19/20;15;3;27;24
19/20;15;4;27;31
19/20;15;5;17;20
19/20;15;6;29;23
19/20;15;7;24;28
19/20;15;8;29;24
19/20;15;9;30;27
19/20;16;1;26;25
19/20;16;2;26;25
19/20;16;3;29;27
19/20;16;4;27;28
19/20;16;5;31;28
19/20;16;6;29;27
19/20;16;7;28;21
19/20;16;8;25;22
19/20;16;9;24;29
19/20;17;1;32;25
19/20;17;2;29;28
19/20;17;3;30;25
19/20;17;4;31;28
19/20;17;5;24;26
19/20;17;6;26;29
19/20;17;7;26;29
19/20;17;8;28;26
19/20;17;9;23;24
19/20;18;1;32;28
19/20;18;2;25;23
19/20;18;3;26;27
19/20;18;4;26;25
19/20;18;5;20;27
19/20;18;6;26;23
19/20;18;7;34;29
19/20;18;8;33;35
19/20;19;1;29;22
19/20;19;2;27;23
19/20;19;3;36;32
19/20;19;4;34;19
19/20;19;5;32;29
19/20;19;6;26;28
19/20;19;7;29;27
19/20;19;8;26;23
19/20;19;9;21;27
19/20;20;1;22;24
19/20;20;2;34;27
19/20;20;3;25;30
19/20;20;4;32;33
19/20;20;5;24;23
19/20;20;6;31;24
19/20;20;7;31;18
19/20;20;8;32;32
19/20;20;9;26;24
19/20;21;1;27;24
19/20;21;2;19;21
19/20;21;3;25;32
19/20;21;4;29;23
19/20;21;5;33;27
19/20;21;6;27;23
19/20;21;7;26;21
19/20;22;1;30;33
19/20;22;2;30;30
19/20;22;3;20;21
19/20;22;4;29;31
19/20;22;5;19;27
19/20;22;6;25;31
19/20;22;7;29;15
19/20;22;8;27;26
19/20;22;9;25;25
19/20;23;1;25;23
19/20;23;2;29;27
19/20;23;3;21;26
19/20;23;4;28;22
19/20;23;5;32;27
19/20;23;6;27;27
19/20;23;7;25;24
19/20;23;8;31;26
19/20;24;1;29;29
19/20;24;2;28;26
19/20;24;3;30;25
19/20;24;4;30;24
19/20;24;5;20;32
19/20;24;6;20;30
19/20;24;7;25;25
19/20;24;8;31;28
19/20;24;9;28;27
19/20;25;1;35;23
19/20;25;2;30;32
19/20;25;3;28;25
19/20;25;4;32;27
19/20;25;5;23;27
19/20;25;6;32;34
19/20;25;7;30;23
19/20;25;8;31;28
19/20;25;9;28;26
19/20;26;1;32;26
19/20;26;2;26;23
19/20;26;3;24;20
19/20;26;4;26;26
19/20;26;5;24;32
19/20;26;6;29;36
19/20;26;7;30;23
19/20;26;8;26;29
19/20;26;9;31;30
19/20;27;1;32;25
19/20;27;2;28;26
19/20;27;3;26;26
19/20;27;4;28;26
19/20;27;5;27;21
19/20;27;6;33;35
19/20;27;7;27;29
19/20;27;8;30;32
19/20;27;9;32;27
